# artifact_type: raw_data
# circuit_file: 01_resistor_divider.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\01_resistor_divider.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:31.080203

Vin,V(in),I(VIN),V(tap)
8.599999999999985,8.599999999999985,-0.0004299999999999993,4.299999999999993
8.699999999999985,8.699999999999985,-0.0004349999999999993,4.3499999999999925
8.799999999999985,8.799999999999985,-0.00043999999999999926,4.399999999999992
8.899999999999984,8.899999999999984,-0.0004449999999999992,4.449999999999992
8.999999999999984,8.999999999999984,-0.00044999999999999923,4.499999999999992
9.099999999999984,9.099999999999984,-0.0004549999999999992,4.549999999999992
9.199999999999983,9.199999999999983,-0.0004599999999999992,4.599999999999992
9.299999999999983,9.299999999999983,-0.00046499999999999916,4.6499999999999915
9.399999999999983,9.399999999999983,-0.00046999999999999917,4.699999999999991
9.499999999999982,9.499999999999982,-0.00047499999999999913,4.749999999999991
9.599999999999982,9.599999999999982,-0.0004799999999999991,4.799999999999991
9.699999999999982,9.699999999999982,-0.0004849999999999991,4.849999999999991
9.799999999999981,9.799999999999981,-0.0004899999999999991,4.8999999999999915
9.89999999999998,9.89999999999998,-0.000494999999999999,4.94999999999999
9.99999999999998,9.99999999999998,-0.000499999999999999,4.99999999999999
