# artifact_type: raw_data
# circuit_file: 02_vccs_transconductor.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\controlled_source\02_vccs_transconductor.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:30.221610

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag
35.48133892335751,9.997515906757577,178.7228833480149,-9.995032430587077,0.22282508248257424,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39.810717055349684,9.996873013552877,178.5671129842127,-9.993747004910178,0.24998170123155133,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44.66835921509626,9.996063835284163,178.39236109093935,-9.992129219907593,0.2804386773339373,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50.11872336272717,9.995045419538235,178.1963220089348,-9.990093293863225,0.314593258893549,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56.23413251903484,9.993763752569283,177.97641304273006,-9.98753139421677,0.3528889226117961,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63.09573444801924,9.992150930299864,177.72974242259502,-9.984308021389245,0.3958200953903543,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70.7945784384137,9.990121617216378,177.45307408007014,-9.980252992677396,0.44393707766736185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79.43282347242804,9.98756862059363,177.14278914220444,-9.975152695106656,0.49785104235400335,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89.12509381337442,9.984357369602636,176.79484415600828,-9.968739208393846,0.5582389085057633,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99.99999999999984,9.980319045036449,176.40472622013183,-9.960676824071724,0.6258477827057157,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112.20184543019616,9.975242056249616,175.96740544971834,-9.950545408077108,0.7014985121628121,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125.8925411794165,9.968861509384775,175.47728556564903,-9.93781997932933,0.786087687052841,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141.25375446227517,9.960846259230978,174.92815392475634,-9.921845820003579,0.8805871473700432,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158.48931924611105,9.950783093939437,174.31313304998963,-9.90180841826309,0.9860396699144961,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177.82794100389194,9.938157580844418,173.62463675089487,-9.87669761016954,1.1035490106772237,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199.52623149688756,9.922331124980495,172.85433533197423,-9.84526549537567,1.2342618358038784,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223.8721138568335,9.902513894313405,171.99313626729216,-9.805978142707001,1.3793382804165717,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
251.18864315095746,9.877733499376966,171.0311891707787,-9.756961908471387,1.5399069456795953,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
281.83829312644474,9.846799754532993,169.95792698257702,-9.695946540587103,1.7169991519939682,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
316.22776601683717,9.808266593818514,168.76215901537586,-9.620209357541626,1.9114563799586932,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
354.8133892335746,9.760393389995551,167.43223569242576,-9.526527912746886,2.1238043824993205,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
398.10717055349625,9.701109662032572,165.9563089984628,-9.411152867478174,2.3540880144419147,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
446.68359215096194,9.627989550455506,164.32271591459758,-9.269818278368046,2.6016632890737657,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
501.1872336272709,9.538245469697008,162.5205127786749,-9.097812664019552,2.8649487553184927,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
562.3413251903476,9.428753728723843,160.54018408495773,-8.890139687692377,3.141148390356726,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
630.9573444801915,9.296127904103136,158.37453633760853,-8.641799400944494,3.4259738941329245,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
707.9457843841359,9.136856951300507,156.01976249261864,-8.348215494852836,3.7134152743838635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
794.3282347242791,8.947522328697685,153.47662261084918,-8.005815582254368,3.995631700429461,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
891.2509381337428,8.725099289510613,150.75163252247754,-7.612735761181861,4.263051939894874,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999.9999999999968,8.467330159648315,147.85809236465806,-7.169568003248992,4.50477243368388,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1122.0184543019598,8.173132583904241,144.81673799035636,-6.680009623407721,4.709306495149519,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1258.925411794163,7.842978640533217,141.65578582840502,-6.151231395586028,4.865661956385487,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1412.5375446227495,7.479161724041979,138.41019130216867,-5.5937860094374585,4.964616619135494,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1584.893192461108,7.085869683561598,135.1200631832733,-5.020954917241735,4.999956088951522,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1778.2794100389165,6.669012822378022,131.828352417733,-4.447573202504247,4.969388758530428,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1995.2623149688723,6.235810052573154,128.57811263702328,-3.88853270117724,4.874899018815429,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2238.7211385683313,5.794198003754268,125.40974482937183,-3.3572730506709942,4.722440912277063,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2511.8864315095707,5.352172067240658,122.35864303613235,-2.864574583735113,4.52105720949978,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2818.382931264443,4.917177899357679,119.4535495835737,-2.4178638493931595,4.281655392453868,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3162.2776601683668,4.495645925385799,116.71575209205076,-2.0210832286437936,4.01572594549637,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3548.1338923357403,4.092714412366777,114.15907609351878,-1.6750311261194728,3.7342445002604823,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3981.071705534956,3.71213879049511,111.79049983853996,-1.37799743998985,3.446896786281817,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4466.8359215096125,3.356351076254128,109.61116313071783,-1.1265092547072246,3.1616561239532706,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5011.872336272701,3.0266185580959544,107.61755071599664,-0.9160419896210833,2.8846640999364,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5623.4132519034665,2.723252188603918,105.80267788851384,-0.741610248273603,2.620327598295983,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6309.573444801905,2.445825622697457,104.15716580634975,-0.5982062976643403,2.37154215692619,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7079.457843841347,2.193379167158272,102.67014864488618,-0.48109121709239133,2.1399680866219652,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7943.282347242779,1.9645949299508854,101.32999573435667,-0.3859633238788724,1.9263087892155546,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8912.509381337413,1.7579383885870197,100.12485792408908,-0.3090347378067927,1.7305620211066155,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9999.999999999953,1.5717672547759056,99.04306107903774,-0.2470452303185787,1.552230961346483,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11220.18454301958,1.4044115075618397,98.07337453606091,-0.19723716825721194,1.390492424297952,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12589.254117941611,1.2542296201012415,97.20518195186273,-0.15730919399393048,1.2443254226384208,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14125.375446227474,1.1196460477104677,96.42857884733753,-0.1253607272153671,1.1126059321366686,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15848.931924611055,0.9991745156734656,95.73441699304468,-0.09983497127713044,0.9941743766972668,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17782.794100389136,0.891430892726104,95.11431157246567,-0.0794649036506459,0.8878819547632739,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19952.62314968869,0.7951386600031318,94.56062329397042,-0.06322454886315762,0.792621060187418,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22387.211385683277,0.7091292849510736,94.06642448386657,-0.050286434277522093,0.7073440586467616,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25118.864315095663,0.6323392234757168,93.62545569701739,-0.039985289354587256,0.6310737438533649,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28183.829312644382,0.5638048059929528,93.2320774623271,-0.03178758592607511,0.5629079930519227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31622.776601683614,0.5026559025425057,92.88122034208733,-0.025266295636082105,0.5020204882927102,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35481.33892335734,0.44810899117366504,92.56833542854055,-0.020080166797067988,0.4476588599280503,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39810.71705534949,0.3994600542583934,92.28934664018436,-0.015956833494811862,0.39914122113975836,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44668.35921509604,0.35607758291839636,92.0406056412736,-0.012679124505700738,0.3558517737187442,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50118.723362726916,0.31739586678461296,91.81884983267685,-0.010074013625195577,0.3172359539860436,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56234.13251903455,0.28290867404210174,91.62116360606458,-0.008003731784826017,0.2827954351218858,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63095.73444801892,0.2521633768321995,91.44494288274048,-0.006358636861541785,0.25208319331657336,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70794.57843841333,0.2247555433210477,91.2878628484055,-0.005051505425353935,0.22469876845785552,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79432.82347242763,0.20032399545711832,91.14784872760103,-0.004012970315590356,0.2002837967114408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89125.09381337395,0.1785463172359027,91.0230494033899,-0.003187878739850361,0.17851785576698936,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99999.99999999932,0.15913478971147804,90.91181366961385,-0.002532388129651634,0.1591146388830303,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112201.84543019556,0.1418327242811992,90.81266889815453,-0.002011652167702667,0.14181845765831347,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125892.54117941584,0.1264111636688075,90.7243019073408,-0.001597978230010204,0.12640106315090255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141253.75446227443,0.11266591965905949,90.64554182672669,-0.0012693609452621645,0.11265876874621118,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158489.31924611022,0.10041491737508453,90.57534476566899,-0.001008315563144505,0.10040985475126518,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177827.941003891,0.08949581730924432,90.51278010693294,-0.0008009501315849633,0.08949223315314211,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199526.2314968865,0.07976388812515703,90.45701826092848,-0.0006362277848842567,0.07976135068470386,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223872.1138568323,0.07109010524382021,90.40731973046648,-0.0005053803063577435,0.07108830884416495,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
251188.6431509561,0.06335945227830304,90.36302534970218,-0.000401442019300656,0.06335818050821615,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
281838.2931264432,0.0564694044037931,90.3235475739551,-0.00031887936337191285,0.05646850405022913,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
316227.76601683546,0.05032857468967905,90.28836270922612,-0.0002532965430294603,0.050327937282943484,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
354813.38923357264,0.04485550624676704,90.25700398141822,-0.00020120164406537574,0.0448550549944171,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
398107.17055349407,0.03997759473961724,90.22905535549941,-0.00015982080811650725,0.039977275275765924,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
446683.59215095954,0.03563012737529533,90.20414602415435,-0.00012695059767797698,0.035629901211279257,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
501187.23362726823,0.03175542590603617,90.18194549389837,-0.00010084070744737529,0.031755265793651836,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
562341.3251903445,0.02830208247898827,90.16215920423288,-8.010078726474548e-05,0.028301969127806893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
630957.344480188,0.02522427833837674,90.14452462226525,-6.36264217691902e-05,0.025224198091720475,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
707945.7843841319,0.022481176442441693,90.12880776136403,-5.0540329423619534e-05,0.02248111963206675,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
794328.2347242747,0.020036380008305897,90.11480007793179,-4.014565238372402e-05,0.020036339789588187,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
891250.9381337379,0.01785744985150225,90.10231570531465,-3.188885151989177e-05,0.01785742137880121,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
999999.9999999914,0.015915474152018945,90.09118898828336,-2.533023174835831e-05,0.01591545399487375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1122018.4543019538,0.014184684963737966,90.08127228546851,-2.0120528752049398e-05,0.014184670693562707,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1258925.4117941563,0.012642116396859264,90.0724340106597,-1.5982310699173783e-05,0.012642106294343619,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1412537.5446227419,0.011267299950539727,90.06455688702677,-1.2695204817543256e-05,0.011267292798503427,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1584893.1924610995,0.010041992962157794,90.05753639113328,-1.0084162265202662e-05,0.010041987898902191,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1778279.4100389068,0.008949936576376358,90.05127936611953,-8.010136472115938e-06,0.008949932991864971,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1995262.3149688616,0.007976640026992313,90.04570278567071,-6.362678612021593e-06,0.007976637489352064,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2238721.1385683194,0.007109188372374594,90.04073265238114,-5.054055931390612e-06,0.007109186575862583,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2511886.431509557,0.0063360711355582655,90.03630301590523,-4.014579743485461e-06,0.006336069863724997,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2818382.931264428,0.005647029576782036,90.03235509787314,-3.188894304105109e-06,0.005647028676392941,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3162277.66016835,0.005032920573021953,90.02883651196326,-2.5330289494347625e-06,0.005032919935595238,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3548133.8923357218,0.0044855952991020446,90.02570056878608,-2.0120565187326354e-06,0.004485594847838458,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3981071.7055349355,0.003997791101131953,90.02290565635712,-1.5982333688289843e-06,0.003997790781661784,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4466835.921509589,0.003563035127907122,90.02041468794054,-1.2695219322700123e-06,0.003563034901739553,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5011872.336272676,0.0031755584418083935,90.01819460993708,-1.0084171417340555e-06,0.003175558281694011,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5623413.251903437,0.0028302194697100574,90.01621596328751,-8.010142246725876e-07,0.0028302193563577525,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6309573.444801872,0.002522435778281542,90.01445249257209,-6.36268225555481e-07,0.002522435698034254,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7079457.843841311,0.0022481232684852903,90.01288079761945,-5.054058230304985e-07,0.00224812321167456,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7943282.347242737,0.002003641982491517,90.01148002300201,-4.0145811940025367e-07,0.0020036419422725994,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8912509.381337367,0.0017857478039520578,90.0102315812985,-3.188895219319597e-07,0.0017857477754792445,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9999999.9999999,0.001591549410761761,90.00911890645082,-2.5330295268961085e-07,0.0015915493906045527,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
